,deme,food_conc,drift_velocity,rel_prob_tum_up,rel_prob_tum_down,tum_diff,rel_prob_tum_diff
68,69,1079.766228,1.945700023,0.356396742,0.643603258,0.18799085,0.287206517
69,70,1224.208561,1.811203046,0.366786012,0.633213988,0.173307196,0.266427977
70,71,1387.973212,1.685670946,0.377065521,0.622934479,0.159034924,0.245868957
71,72,1573.644965,1.569994708,0.386991459,0.613008541,0.145470762,0.226017082
72,73,1784.154373,1.464894519,0.396343282,0.603656718,0.132866374,0.207313437
73,74,2022.824015,1.370937408,0.404935804,0.595064196,0.121420042,0.190128393
74,75,2293.420938,1.28855954,0.412625495,0.587374505,0.111274987,0.174749011
75,76,2600.216114,1.218091316,0.419311194,0.580688806,0.1025231,0.161377611
76,77,2948.05185,1.159783591,0.424930273,0.575069727,0.095212539,0.150139455
77,78,3342.418217,1.113833533,0.429451757,0.570548243,0.089357543,0.141096486
78,79,3789.539706,1.080408895,0.432868099,0.567131901,0.084948852,0.134263802
79,80,4296.473467,1.059669742,0.435187141,0.564812859,0.081963267,0.129625718
80,81,4871.220697,1.051786934,0.436425589,0.563574411,0.080371117,0.127148821
81,82,5522.852932,1.056956813,0.43660497,0.56339503,0.080140633,0.126790061
82,83,6261.65522,1.075411705,0.435750668,0.564249332,0.081238605,0.128498665
83,84,7099.288461,1.107425917,0.433894253,0.566105747,0.08362707,0.132211493
84,85,8048.973455,1.153316941,0.431078807,0.568921193,0.087256299,0.137842386
85,86,9125.699574,1.213441579,0.42736637,0.57263363,0.092055036,0.145267261
86,87,10346.46135,1.288186717,0.422845931,0.577154069,0.097919745,0.154308138
87,88,11730.52668,1.377954454,0.417639542,0.582360458,0.10470572,0.164720917
88,89,13299.74101,1.483141346,0.411903354,0.588096646,0.112224003,0.176193293
89,90,15078.87205,1.604111617,0.405819826,0.594180174,0.120249195,0.188360349
90,91,17096.00076,1.741164351,0.399577372,0.600422628,0.128543763,0.200845256
91,92,19382.96451,1.894494956,0.393334735,0.606665265,0.136903862,0.21333053
92,93,21975.85965,2.064151559,0.387169861,0.612830139,0.145228781,0.225660279
93,94,24915.61118,2.249987479,0.381017717,0.618982283,0.153609827,0.237964567
94,95,28248.61874,2.45161149,0.374609145,0.625390855,0.162423666,0.250781709
95,96,32027.4889,2.668338222,0.367434542,0.632565458,0.172399517,0.265130916
96,97,36311.86554,2.899141644,0.358771899,0.641228101,0.184609494,0.282456202
97,98,41169.37119,3.14261509,0.347835359,0.652164641,0.200307243,0.304329282
98,99,46676.67439,3.396941597,0.334107646,0.665892354,0.220510638,0.331784708
99,100,52920.69976,3.659878316,0.317898677,0.682101323,0.245184319,0.364202645
100,101,60000,3.928758378,0.30111139,0.69888861,0.271825839,0.39777722
